BF,xover,mutation,mixingFactor,p1,p2,p3
9.976779,3,6,0.7,-,0.5,0.1
9.978182,3,6,0.7,-,0.5,0.1
9.993327,3,6,0.7,-,0.5,0.1
9.960169,3,6,0.7,-,0.5,0.1
9.972497,3,6,0.7,-,0.5,0.1
9.982477,3,6,0.7,-,0.5,0.1
9.974196,3,6,0.7,-,0.5,0.1
9.955622,3,6,0.7,-,0.5,0.1
9.983287,3,6,0.7,-,0.5,0.1
9.96542,3,6,0.7,-,0.5,0.1
9.975551,3,6,0.6,-,0.03,0.07
9.983402,3,6,0.6,-,0.03,0.07
9.976882,3,6,0.6,-,0.03,0.07
9.972255,3,6,0.6,-,0.03,0.07
9.959739,3,6,0.6,-,0.03,0.07
9.967126,3,6,0.6,-,0.03,0.07
9.959822,3,6,0.6,-,0.03,0.07
9.94339,3,6,0.6,-,0.03,0.07
9.981856,3,6,0.6,-,0.03,0.07
9.977736,3,6,0.6,-,0.03,0.07
