BF,xover,mutation,mixingFactor,p1,p2,p3
9.989743,1,6,0.6,-,0.03,0.01
9.976382,1,6,0.6,-,0.03,0.01
9.981574,1,6,0.6,-,0.03,0.01
9.973362,1,6,0.6,-,0.03,0.01
9.992962,1,6,0.6,-,0.03,0.01
9.983996,1,6,0.6,-,0.03,0.01
9.994428,1,6,0.6,-,0.03,0.01
9.989597,1,6,0.6,-,0.03,0.01
9.99114,1,6,0.6,-,0.03,0.01
9.98816,1,6,0.6,-,0.03,0.01
9.99419,1,6,0.6,-,0.03,0.07
9.993606,1,6,0.6,-,0.03,0.07
9.98044,1,6,0.6,-,0.03,0.07
9.979645,1,6,0.6,-,0.03,0.07
9.987623,1,6,0.6,-,0.03,0.07
9.980056,1,6,0.6,-,0.03,0.07
9.99126,1,6,0.6,-,0.03,0.07
9.976622,1,6,0.6,-,0.03,0.07
9.986839,1,6,0.6,-,0.03,0.07
9.978907,1,6,0.6,-,0.03,0.07
