BF,xover,mutation,mixingFactor,p1,p2,p3
9.990327,2,6,0.3,-,0.07,0.05
9.991493,2,6,0.3,-,0.07,0.05
9.986101,2,6,0.3,-,0.07,0.05
9.986095,2,6,0.3,-,0.07,0.05
9.986757,2,6,0.3,-,0.07,0.05
9.950398,2,6,0.3,-,0.07,0.05
9.982136,2,6,0.3,-,0.07,0.05
9.979883,2,6,0.3,-,0.07,0.05
9.951942,2,6,0.3,-,0.07,0.05
9.980825,2,6,0.3,-,0.07,0.05
9.981468,2,6,0.3,-,0.07,0.05
9.975227,2,6,0.3,-,0.07,0.05
9.976536,2,6,0.3,-,0.07,0.05
9.987114,2,6,0.3,-,0.07,0.05
9.970608,2,6,0.3,-,0.07,0.05
9.988075,2,6,0.3,-,0.07,0.05
9.975854,2,6,0.3,-,0.07,0.05
9.970583,2,6,0.3,-,0.07,0.05
9.981358,2,6,0.3,-,0.07,0.05
9.98813,2,6,0.3,-,0.07,0.05
