BF,xover,mutation,mixingFactor,p1,p2,p3
2.788288,3,6,0.7,-,0.5,0.1
2.93066,3,6,0.7,-,0.5,0.1
2.821818,3,6,0.7,-,0.5,0.1
2.878645,3,6,0.7,-,0.5,0.1
2.18871,3,6,0.7,-,0.5,0.1
3.75661,3,6,0.7,-,0.5,0.1
3.068741,3,6,0.7,-,0.5,0.1
6.553801,3,6,0.7,-,0.5,0.1
2.518072,3,6,0.7,-,0.5,0.1
2.882779,3,6,0.7,-,0.5,0.1
4.72468,3,6,0.7,-,0.5,0.1
4.55408,3,6,0.7,-,0.5,0.1
5.087264,3,6,0.7,-,0.5,0.1
2.084144,3,6,0.7,-,0.5,0.1
3.734871,3,6,0.7,-,0.5,0.1
5.883922,3,6,0.7,-,0.5,0.1
2.997197,3,6,0.7,-,0.5,0.1
2.829177,3,6,0.7,-,0.5,0.1
1.842401,3,6,0.7,-,0.5,0.1
3.991867,3,6,0.7,-,0.5,0.1
