BF,xover,mutation,mixingFactor,p1,p2,p3
8.461839,1,6,0.7,-,0.3,0.1
8.586017,1,6,0.7,-,0.3,0.1
8.979021,1,6,0.7,-,0.3,0.1
7.821896,1,6,0.7,-,0.3,0.1
9.000772,1,6,0.7,-,0.3,0.1
8.609732,1,6,0.7,-,0.3,0.1
7.571066,1,6,0.7,-,0.3,0.1
8.608983,1,6,0.7,-,0.3,0.1
8.744911,1,6,0.7,-,0.3,0.1
7.93265,1,6,0.7,-,0.3,0.1
9.190549,1,6,0.7,-,0.3,0.1
8.688643,1,6,0.7,-,0.3,0.1
8.516585,1,6,0.7,-,0.3,0.1
7.330414,1,6,0.7,-,0.3,0.1
9.126397,1,6,0.7,-,0.3,0.1
8.341894,1,6,0.7,-,0.3,0.1
8.362032,1,6,0.7,-,0.3,0.1
8.789985,1,6,0.7,-,0.3,0.1
7.896085,1,6,0.7,-,0.3,0.1
9.042331,1,6,0.7,-,0.3,0.1
