BF,xover,mutation,mixingFactor,p1,p2,p3
6.932697,2,6,0.4,-,0.5,0.1
7.260772,2,6,0.4,-,0.5,0.1
7.592179,2,6,0.4,-,0.5,0.1
6.965219,2,6,0.4,-,0.5,0.1
6.402678,2,6,0.4,-,0.5,0.1
7.816251,2,6,0.4,-,0.5,0.1
7.232033,2,6,0.4,-,0.5,0.1
6.969517,2,6,0.4,-,0.5,0.1
7.663761,2,6,0.4,-,0.5,0.1
6.672666,2,6,0.4,-,0.5,0.1
7.393053,2,6,0.4,-,0.5,0.1
7.321213,2,6,0.4,-,0.5,0.1
6.922987,2,6,0.4,-,0.5,0.1
8.312977,2,6,0.4,-,0.5,0.1
6.87751,2,6,0.4,-,0.5,0.1
7.778321,2,6,0.4,-,0.5,0.1
7.100918,2,6,0.4,-,0.5,0.1
6.969469,2,6,0.4,-,0.5,0.1
5.185025,2,6,0.4,-,0.5,0.1
7.249068,2,6,0.4,-,0.5,0.1
