MBF,xover,mutation,mixingFactor,p1,p2,p3
4.04497,3,6,0.7,-,0.5,0.1
3.854782,3,6,0.6,-,0.1,0.3
3.841705,3,6,0.7,-,0.1,0.1
3.692766,3,6,0.7,-,0.5,0.5
3.635267,3,6,0.6,-,0.7,0.5
3.610433,3,6,0.7,-,0.7,0.5
3.607618,3,6,0.7,-,0.1,0.5
3.547379,3,6,0.7,-,0.3,0.1
3.521611,3,6,0.6,-,0.7,0.1
3.510653,3,6,0.5,-,0.3,0.7
3.505719,3,6,0.7,-,0.7,0.7
3.487122,3,6,0.6,-,0.7,0.3
3.465652,3,6,0.7,-,0.1,0.7
3.416929,3,6,0.5,-,0.3,0.3
3.392267,3,6,0.7,-,0.5,0.3
3.355096,3,6,0.6,-,0.1,0.7
3.342912,3,6,0.7,-,0.7,0.1
3.327321,3,6,0.6,-,0.5,0.5
3.30378,3,6,0.6,-,0.5,0.3
3.303524,3,6,0.7,-,0.3,0.5
3.287803,3,6,0.5,-,0.7,0.7
3.240358,3,6,0.5,-,0.3,0.1
3.229971,3,6,0.7,-,0.3,0.7
3.225429,3,6,0.6,-,0.5,0.1
3.187247,3,6,0.5,-,0.1,0.3
3.162469,3,6,0.6,-,0.3,0.5
3.159121,3,6,0.6,-,0.3,0.7
3.074424,3,6,0.7,-,0.3,0.3
3.04214,3,6,0.5,-,0.3,0.5
3.030878,3,6,0.6,-,0.7,0.7
3.0308,3,6,0.5,-,0.7,0.3
2.973411,3,6,0.5,-,0.1,0.7
2.968535,3,6,0.7,-,0.5,0.7
2.954246,3,6,0.7,-,0.7,0.3
2.953641,3,6,0.6,-,0.3,0.3
2.917974,3,6,0.6,-,0.3,0.1
2.915297,3,6,0.5,-,0.7,0.5
2.899309,3,6,0.7,-,0.1,0.3
2.889699,3,6,0.5,-,0.5,0.5
2.840348,3,6,0.5,-,0.1,0.5
2.797633,3,6,0.5,-,0.7,0.1
2.715253,3,6,0.6,-,0.1,0.1
2.679058,3,6,0.5,-,0.5,0.3
2.651587,3,6,0.6,-,0.1,0.5
2.618297,3,6,0.5,-,0.5,0.7
2.598704,3,6,0.6,-,0.5,0.7
2.585923,3,6,0.5,-,0.5,0.1
2.394854,3,6,0.5,-,0.1,0.1
