MBF,xover,mutation,mixingFactor,p1,p2,p3
7.671354,2,6,0.4,-,0.5,0.1
7.636976,2,6,0.4,-,0.3,0.3
7.579288,2,6,0.5,-,0.1,0.3
7.52919,2,6,0.5,-,0.5,0.1
7.494876,2,6,0.4,-,0.5,0.7
7.469663,2,6,0.4,-,0.5,0.3
7.458605,2,6,0.5,-,0.3,0.3
7.448748,2,6,0.5,-,0.5,0.7
7.424018,2,6,0.4,-,0.7,0.1
7.39933,2,6,0.5,-,0.7,0.1
7.387892,2,6,0.5,-,0.1,0.1
7.383468,2,6,0.4,-,0.3,0.5
7.379339,2,6,0.5,-,0.7,0.5
7.37716,2,6,0.4,-,0.1,0.1
7.376127,2,6,0.5,-,0.3,0.7
7.316888,2,6,0.4,-,0.1,0.3
7.298024,2,6,0.5,-,0.1,0.7
7.294873,2,6,0.4,-,0.7,0.3
7.288232,2,6,0.3,-,0.1,0.1
7.271098,2,6,0.5,-,0.3,0.1
7.266337,2,6,0.3,-,0.3,0.5
7.229182,2,6,0.3,-,0.5,0.5
7.222558,2,6,0.5,-,0.7,0.3
7.188629,2,6,0.4,-,0.7,0.7
7.186046,2,6,0.5,-,0.5,0.5
7.168969,2,6,0.5,-,0.1,0.5
7.152493,2,6,0.3,-,0.5,0.7
7.143387,2,6,0.5,-,0.5,0.3
7.136533,2,6,0.4,-,0.3,0.7
7.123455,2,6,0.4,-,0.5,0.5
7.104449,2,6,0.4,-,0.1,0.5
7.087317,2,6,0.3,-,0.5,0.3
7.080968,2,6,0.3,-,0.7,0.3
7.063901,2,6,0.5,-,0.3,0.5
7.055199,2,6,0.4,-,0.3,0.1
7.041264,2,6,0.3,-,0.3,0.7
7.028473,2,6,0.3,-,0.7,0.1
6.937878,2,6,0.3,-,0.1,0.7
6.928063,2,6,0.3,-,0.3,0.1
6.920227,2,6,0.5,-,0.7,0.7
6.894174,2,6,0.3,-,0.5,0.1
6.881192,2,6,0.4,-,0.7,0.5
6.879212,2,6,0.3,-,0.7,0.7
6.824128,2,6,0.3,-,0.1,0.3
6.800609,2,6,0.3,-,0.3,0.3
6.763467,2,6,0.4,-,0.1,0.7
6.761214,2,6,0.3,-,0.7,0.5
6.713726,2,6,0.3,-,0.1,0.5
