MBF,xover,mutation,mixingFactor,p1,p2,p3
9.994575,1,6,0.7,-,0.07,0.03
9.991036,1,6,0.7,-,0.05,0.05
9.990047,1,6,0.5,-,0.01,0.03
9.988957,1,6,0.7,-,0.05,0.03
9.988268,2,6,0.3,-,0.01,0.03
9.987872,1,6,0.7,-,0.03,0.03
9.987863,1,6,0.7,-,0.01,0.01
9.987683,1,6,0.7,-,0.03,0.01
9.987231,1,6,0.7,-,0.07,0.01
9.986669,1,6,0.7,-,0.01,0.03
9.986621,1,6,0.7,-,0.01,0.05
9.986455,1,6,0.7,-,0.03,0.05
9.986261,1,6,0.5,-,0.07,0.05
9.985993,2,6,0.5,-,0.01,0.01
9.985701,1,6,0.7,-,0.01,0.07
9.985046,1,6,0.5,-,0.07,0.07
9.985022,1,6,0.7,-,0.05,0.07
9.984874,2,6,0.5,-,0.03,0.07
9.984416,1,6,0.3,-,0.03,0.05
9.983687,2,6,0.5,-,0.05,0.03
9.983586,2,6,0.7,-,0.05,0.03
9.983548,1,6,0.5,-,0.05,0.01
9.983364,1,6,0.7,-,0.07,0.07
9.983294,1,6,0.5,-,0.05,0.03
9.98325,1,6,0.3,-,0.01,0.07
9.983211,1,6,0.5,-,0.07,0.01
9.982845,1,6,0.7,-,0.05,0.01
9.982814,2,6,0.7,-,0.07,0.05
9.982213,1,6,0.5,-,0.01,0.05
9.982125,1,6,0.3,-,0.03,0.07
9.98184,1,6,0.7,-,0.03,0.07
9.98177,2,6,0.5,-,0.03,0.05
9.981094,1,6,0.7,-,0.07,0.05
9.981071,1,6,0.5,-,0.01,0.01
9.98107,1,6,0.3,-,0.05,0.07
9.98091,1,6,0.5,-,0.01,0.07
9.98079,1,6,0.5,-,0.05,0.07
9.98064,2,6,0.5,-,0.05,0.05
9.980578,2,6,0.7,-,0.05,0.05
9.980463,1,6,0.3,-,0.05,0.03
9.980384,2,6,0.3,-,0.07,0.01
9.980183,2,6,0.5,-,0.07,0.03
9.980042,2,6,0.5,-,0.01,0.05
9.979889,2,6,0.3,-,0.01,0.07
9.979666,1,6,0.3,-,0.05,0.05
9.979565,1,6,0.5,-,0.07,0.03
9.979306,1,6,0.5,-,0.03,0.03
9.979141,2,6,0.7,-,0.07,0.03
9.978736,1,6,0.3,-,0.07,0.07
9.978694,1,6,0.1,-,0.01,0.05
9.978612,2,6,0.5,-,0.07,0.07
9.978519,2,6,0.7,-,0.01,0.05
9.97845,1,6,0.5,-,0.03,0.07
9.978431,2,6,0.3,-,0.05,0.07
9.978314,3,6,0.7,-,0.07,0.01
9.978082,2,6,0.7,-,0.05,0.07
9.977923,1,6,0.3,-,0.03,0.01
9.977891,1,6,0.5,-,0.03,0.01
9.977869,1,6,0.5,-,0.05,0.05
9.977835,2,6,0.3,-,0.03,0.01
9.977685,1,6,0.3,-,0.07,0.03
9.977676,2,6,0.3,-,0.05,0.03
9.977662,2,6,0.5,-,0.07,0.05
9.977486,1,6,0.5,-,0.03,0.05
