MBF-1,MBF-2,MBF-Overall,xover,mutation,mixingFactor,p1,p2,p3
4.64596,5.764237,5.2050985,1,6,0.7,-,0.005,0.005
4.0552,5.600947,4.8280735,3,6,0.3,-,0.007,0.001
4.216409,5.42812,4.8222645,3,6,0.7,-,0.003,0.001
4.378884,4.817436,4.59816,3,6,0.3,-,0.005,0.005
3.768343,5.044647,4.406495,3,6,0.7,-,0.001,0.005
3.894978,4.49798,4.196479,3,6,0.3,-,0.003,0.005
5.446301,2.884013,4.165157,2,6,0.1,-,0.003,0.003
4.999147,3.181313,4.09023,1,6,0.1,-,0.001,0.001
3.576344,4.517345,4.0468445,2,6,0.7,-,0.005,0.001
4.247428,3.840698,4.044063,2,6,0.5,-,0.001,0.007
4.420195,3.644221,4.032208,3,6,0.3,-,0.007,0.007
2.981352,5.041325,4.0113385,1,6,0.5,-,0.007,0.001
5.143346,2.846636,3.994991,1,6,0.3,-,0.003,0.005
3.323454,4.506617,3.9150355,2,6,0.3,-,0.005,0.001
5.373856,2.391032,3.882444,1,6,0.7,-,0.001,0.003
2.18417,5.51801,3.85109,3,6,0.7,-,0.007,0.005
4.015371,3.673674,3.8445225,3,6,0.1,-,0.005,0.003
1.401956,6.220017,3.8109865,2,6,0.7,-,0.007,0.003
4.708973,2.69184,3.7004065,1,6,0.1,-,0.005,0.007
5.125963,2.246762,3.6863625,3,6,0.7,-,0.005,0.001
4.788885,2.232933,3.510909,1,6,0.1,-,0.001,0.003
4.678864,2.337253,3.5080585,2,6,0.5,-,0.005,0.001
4.033461,2.980614,3.5070375,1,6,0.1,-,0.001,0.007
3.971147,2.963195,3.467171,1,6,0.1,-,0.005,0.001
4.789953,2.138282,3.4641175,3,6,0.7,-,0.003,0.003
4.983971,1.925121,3.454546,2,6,0.7,-,0.003,0.003
3.658885,3.236809,3.447847,2,6,0.7,-,0.005,0.003
2.627576,4.239818,3.433697,3,6,0.1,-,0.001,0.007
3.74338,3.044312,3.393846,3,6,0.3,-,0.003,0.003
1.891256,4.869098,3.380177,2,6,0.3,-,0.005,0.003
3.970072,2.787518,3.378795,1,6,0.5,-,0.005,0.003
3.409846,3.340717,3.3752815,1,6,0.3,-,0.005,0.003
4.739502,1.98505,3.362276,1,6,0.5,-,0.005,0.005
3.425238,3.269493,3.3473655,1,6,0.3,-,0.007,0.005
3.748232,2.942378,3.345305,3,6,0.1,-,0.003,0.007
4.893589,1.780677,3.337133,3,6,0.5,-,0.005,0.005
3.854211,2.766815,3.310513,3,6,0.3,-,0.007,0.003
3.638061,2.964977,3.301519,3,6,0.1,-,0.003,0.003
4.916409,1.613906,3.2651575,1,6,0.5,-,0.005,0.001
3.134139,3.192577,3.163358,2,6,0.1,-,0.003,0.001
2.59786,3.696774,3.147317,2,6,0.7,-,0.001,0.003
2.370729,3.899093,3.134911,2,6,0.3,-,0.001,0.003
4.642022,1.625154,3.133588,1,6,0.5,-,0.001,0.007
2.996301,3.23385,3.1150755,2,6,0.7,-,0.007,0.005
2.704417,3.48856,3.0964885,2,6,0.1,-,0.007,0.003
3.117753,3.035305,3.076529,3,6,0.7,-,0.003,0.005
2.013922,4.105957,3.0599395,1,6,0.5,-,0.005,0.007
1.063631,4.989777,3.026704,3,6,0.5,-,0.007,0.007
2.000145,4.010643,3.005394,1,6,0.5,-,0.003,0.007
1.707398,4.26686,2.987129,1,6,0.5,-,0.001,0.003
4.245101,1.717993,2.981547,3,6,0.1,-,0.005,0.005
2.860335,3.061458,2.9608965,3,6,0.1,-,0.005,0.001
4.715874,1.127415,2.9216445,1,6,0.1,-,0.001,0.005
2.550974,3.287854,2.919414,1,6,0.7,-,0.007,0.007
1.32645,4.490436,2.908443,1,6,0.3,-,0.003,0.007
4.256017,1.558135,2.907076,2,6,0.1,-,0.005,0.007
3.319806,2.493354,2.90658,1,6,0.5,-,0.007,0.007
4.613308,1.159828,2.886568,1,6,0.7,-,0.001,0.005
2.762732,2.978307,2.8705195,2,6,0.1,-,0.003,0.007
2.68568,3.047921,2.8668005,2,6,0.5,-,0.007,0.005
3.576272,2.072141,2.8242065,1,6,0.7,-,0.001,0.001
1.444428,4.15563,2.800029,1,6,0.5,-,0.007,0.005
3.910816,1.65621,2.783513,3,6,0.3,-,0.007,0.005
1.269779,4.270329,2.770054,3,6,0.1,-,0.005,0.007
3.502263,2.020731,2.761497,1,6,0.1,-,0.007,0.005
3.00626,2.497265,2.7517625,3,6,0.7,-,0.005,0.003
3.035105,2.446561,2.740833,2,6,0.5,-,0.007,0.003
1.711249,3.763887,2.737568,3,6,0.1,-,0.001,0.003
4.107113,1.362772,2.7349425,3,6,0.1,-,0.007,0.001
1.963399,3.440389,2.701894,3,6,0.3,-,0.003,0.007
4.873242,0.521778,2.69751,3,6,0.1,-,0.007,0.005
2.07097,3.274206,2.672588,2,6,0.3,-,0.003,0.005
1.170945,4.140938,2.6559415,3,6,0.1,-,0.001,0.001
0.032673,5.234723,2.633698,2,6,0.7,-,0.003,0.001
1.896141,3.302528,2.5993345,2,6,0.5,-,0.005,0.003
1.862829,3.312217,2.587523,2,6,0.3,-,0.003,0.003
1.91277,3.239813,2.5762915,1,6,0.1,-,0.005,0.003
3.785038,1.314416,2.549727,3,6,0.3,-,0.001,0.005
1.384808,3.700088,2.542448,2,6,0.3,-,0.007,0.007
3.481283,1.565052,2.5231675,1,6,0.7,-,0.001,0.007
1.043338,3.986479,2.5149085,1,6,0.3,-,0.005,0.005
0.699342,4.309688,2.504515,2,6,0.3,-,0.001,0.001
0.976532,4.028838,2.502685,2,6,0.5,-,0.003,0.003
2.582905,2.405695,2.4943,2,6,0.7,-,0.001,0.007
3.836924,1.118498,2.477711,3,6,0.5,-,0.001,0.001
0.536611,4.383793,2.460202,3,6,0.3,-,0.001,0.003
0.02614,4.884402,2.455271,3,6,0.7,-,0.001,0.001
3.172413,1.723351,2.447882,1,6,0.1,-,0.007,0.001
1.904068,2.966984,2.435526,1,6,0.5,-,0.003,0.001
0.297775,4.555263,2.426519,1,6,0.1,-,0.007,0.007
