MBF,xover,mutation,mixingFactor,p1,p2,p3
7.258072,2,6,0.5,-,0.1,0.1
7.670023,2,6,0.5,-,0.1,0.3
6.863257,2,6,0.5,-,0.1,0.5
7.277489,2,6,0.5,-,0.1,0.7
7.046207,2,6,0.5,-,0.3,0.1
7.127063,2,6,0.5,-,0.3,0.3
7.382725,2,6,0.5,-,0.3,0.5
7.092982,2,6,0.5,-,0.3,0.7
7.656792,2,6,0.5,-,0.5,0.1
7.353980,2,6,0.5,-,0.5,0.3
7.485196,2,6,0.5,-,0.5,0.5
7.415967,2,6,0.5,-,0.5,0.7
7.892301,2,6,0.5,-,0.7,0.1
7.614875,2,6,0.5,-,0.7,0.3
7.259505,2,6,0.5,-,0.7,0.5
6.868917,2,6,0.5,-,0.7,0.7
7.430869,2,6,0.55,-,0.1,0.1
7.002079,2,6,0.55,-,0.1,0.3
7.524969,2,6,0.55,-,0.1,0.5
7.593280,2,6,0.55,-,0.1,0.7
6.857515,2,6,0.55,-,0.3,0.1
6.904469,2,6,0.55,-,0.3,0.3
7.241219,2,6,0.55,-,0.3,0.5
7.621720,2,6,0.55,-,0.3,0.7
7.587493,2,6,0.55,-,0.5,0.1
7.068077,2,6,0.55,-,0.5,0.3
7.139476,2,6,0.55,-,0.5,0.5
7.448596,2,6,0.55,-,0.5,0.7
7.236589,2,6,0.55,-,0.7,0.1
7.216872,2,6,0.55,-,0.7,0.3
7.225791,2,6,0.55,-,0.7,0.5
7.201221,2,6,0.55,-,0.7,0.7
7.622302,2,6,0.6,-,0.1,0.1
7.391188,2,6,0.6,-,0.1,0.3
7.543406,2,6,0.6,-,0.1,0.5
7.319707,2,6,0.6,-,0.1,0.7
7.088879,2,6,0.6,-,0.3,0.1
6.799855,2,6,0.6,-,0.3,0.3
7.386255,2,6,0.6,-,0.3,0.5
7.047209,2,6,0.6,-,0.3,0.7
7.726571,2,6,0.6,-,0.5,0.1
6.928032,2,6,0.6,-,0.5,0.3
6.664379,2,6,0.6,-,0.5,0.5
7.718248,2,6,0.6,-,0.5,0.7
7.385793,2,6,0.6,-,0.7,0.1
7.222181,2,6,0.6,-,0.7,0.3
7.261680,2,6,0.6,-,0.7,0.5
7.056431,2,6,0.6,-,0.7,0.7
7.394656,2,6,0.65,-,0.1,0.1
6.975153,2,6,0.65,-,0.1,0.3
6.995065,2,6,0.65,-,0.1,0.5
7.908869,2,6,0.65,-,0.1,0.7
7.311497,2,6,0.65,-,0.3,0.1
7.134433,2,6,0.65,-,0.3,0.3
6.827151,2,6,0.65,-,0.3,0.5
7.302164,2,6,0.65,-,0.3,0.7
7.245175,2,6,0.65,-,0.5,0.1
7.650131,2,6,0.65,-,0.5,0.3
7.581863,2,6,0.65,-,0.5,0.5
7.101381,2,6,0.65,-,0.5,0.7
7.317660,2,6,0.65,-,0.7,0.1
7.148596,2,6,0.65,-,0.7,0.3
7.183132,2,6,0.65,-,0.7,0.5
7.466491,2,6,0.65,-,0.7,0.7
6.921841,2,6,0.7,-,0.1,0.1
7.123994,2,6,0.7,-,0.1,0.3
7.005989,2,6,0.7,-,0.1,0.5
7.220857,2,6,0.7,-,0.1,0.7
6.883674,2,6,0.7,-,0.3,0.1
6.988828,2,6,0.7,-,0.3,0.3
7.317895,2,6,0.7,-,0.3,0.5
7.011306,2,6,0.7,-,0.3,0.7
6.927858,2,6,0.7,-,0.5,0.1
7.035450,2,6,0.7,-,0.5,0.3
6.789208,2,6,0.7,-,0.5,0.5
7.001244,2,6,0.7,-,0.5,0.7
6.830415,2,6,0.7,-,0.7,0.1
7.257214,2,6,0.7,-,0.7,0.3
7.571792,2,6,0.7,-,0.7,0.5
7.309857,2,6,0.7,-,0.7,0.7
