MBF,xover,mutation,mixingfactor,p1,p2,p3
7.761819,1,6,0.3,-,0.1,0.1
7.671642,1,6,0.3,-,0.1,0.3
8.059362,1,6,0.3,-,0.1,0.5
7.394260,1,6,0.3,-,0.1,0.7
7.762108,1,6,0.3,-,0.3,0.1
7.607426,1,6,0.3,-,0.3,0.3
8.179177,1,6,0.3,-,0.3,0.5
7.785390,1,6,0.3,-,0.3,0.7
7.603474,1,6,0.3,-,0.5,0.1
7.532992,1,6,0.3,-,0.5,0.3
7.647790,1,6,0.3,-,0.5,0.5
7.596632,1,6,0.3,-,0.5,0.7
7.618021,1,6,0.3,-,0.7,0.1
7.631834,1,6,0.3,-,0.7,0.3
7.652231,1,6,0.3,-,0.7,0.5
7.575250,1,6,0.3,-,0.7,0.7
8.340746,1,6,0.5,-,0.1,0.1
7.703900,1,6,0.5,-,0.1,0.3
7.545284,1,6,0.5,-,0.1,0.5
7.860606,1,6,0.5,-,0.1,0.7
7.888022,1,6,0.5,-,0.3,0.1
7.411455,1,6,0.5,-,0.3,0.3
8.035937,1,6,0.5,-,0.3,0.5
8.003037,1,6,0.5,-,0.3,0.7
7.459840,1,6,0.5,-,0.5,0.1
7.835648,1,6,0.5,-,0.5,0.3
7.779524,1,6,0.5,-,0.5,0.5
7.558255,1,6,0.5,-,0.5,0.7
7.829558,1,6,0.5,-,0.7,0.1
7.760881,1,6,0.5,-,0.7,0.3
7.817662,1,6,0.5,-,0.7,0.5
8.154453,1,6,0.5,-,0.7,0.7
7.451459,1,6,0.7,-,0.1,0.1
7.877975,1,6,0.7,-,0.1,0.3
7.695083,1,6,0.7,-,0.1,0.5
7.936032,1,6,0.7,-,0.1,0.7
7.559791,1,6,0.7,-,0.3,0.1
7.624302,1,6,0.7,-,0.3,0.3
7.135516,1,6,0.7,-,0.3,0.5
7.579235,1,6,0.7,-,0.3,0.7
7.924432,1,6,0.7,-,0.5,0.1
7.692412,1,6,0.7,-,0.5,0.3
8.091273,1,6,0.7,-,0.5,0.5
8.046618,1,6,0.7,-,0.5,0.7
7.503123,1,6,0.7,-,0.7,0.1
7.908644,1,6,0.7,-,0.7,0.3
7.547267,1,6,0.7,-,0.7,0.5
7.395476,1,6,0.7,-,0.7,0.7
7.845753,2,6,0.3,-,0.1,0.1
7.479921,2,6,0.3,-,0.1,0.3
7.198015,2,6,0.3,-,0.1,0.5
7.746644,2,6,0.3,-,0.1,0.7
7.369146,2,6,0.3,-,0.3,0.1
7.288108,2,6,0.3,-,0.3,0.3
7.473293,2,6,0.3,-,0.3,0.5
6.881498,2,6,0.3,-,0.3,0.7
7.465170,2,6,0.3,-,0.5,0.1
7.499515,2,6,0.3,-,0.5,0.3
6.955795,2,6,0.3,-,0.5,0.5
