MBF,xover,mutation,mixingfactor,p1,p2,p3
8.368309,1,6,0.1,-,0.3,0.5
8.361534,1,6,0.3,-,0.5,0.7
8.2968,1,6,0.5,-,0.1,0.1
8.26055,1,6,0.5,-,0.7,0.1
8.254832,1,6,0.1,-,0.1,0.1
8.151461,1,6,0.7,-,0.1,0.5
8.144328,1,6,0.3,-,0.1,0.7
8.129838,1,6,0.1,-,0.3,0.3
8.122643,1,6,0.7,-,0.1,0.1
8.108649,1,6,0.7,-,0.7,0.3
8.100051,1,6,0.3,-,0.3,0.1
8.094064,1,6,0.7,-,0.7,0.1
8.072927,1,6,0.5,-,0.3,0.1
8.067241,1,6,0.7,-,0.7,0.7
8.032171,1,6,0.3,-,0.3,0.7
8.028933,1,6,0.3,-,0.1,0.5
8.027473,1,6,0.7,-,0.3,0.1
8.005548,1,6,0.7,-,0.3,0.5
7.998554,1,6,0.3,-,0.7,0.1
7.976157,1,6,0.3,-,0.3,0.5
7.966243,2,6,0.5,-,0.3,0.3
7.947635,1,6,0.3,-,0.5,0.5
7.946785,1,6,0.3,-,0.3,0.3
7.943846,2,6,0.1,-,0.3,0.1
7.942591,1,6,0.7,-,0.5,0.3
7.929963,1,6,0.5,-,0.7,0.5
7.920021,1,6,0.5,-,0.3,0.3
7.909976,1,6,0.1,-,0.7,0.1
7.908894,1,6,0.7,-,0.3,0.3
7.889721,1,6,0.3,-,0.5,0.1
7.888409,1,6,0.1,-,0.5,0.7
7.878032,1,6,0.1,-,0.5,0.3
7.876053,1,6,0.3,-,0.1,0.3
7.859784,1,6,0.7,-,0.5,0.1
7.855541,1,6,0.1,-,0.1,0.3
7.852029,1,6,0.1,-,0.5,0.5
7.831768,1,6,0.3,-,0.7,0.5
7.831637,1,6,0.5,-,0.5,0.3
7.827119,1,6,0.5,-,0.7,0.3
7.826252,1,6,0.1,-,0.1,0.5
7.820392,1,6,0.3,-,0.7,0.3
7.80334,1,6,0.5,-,0.5,0.7
7.767093,1,6,0.7,-,0.5,0.5
7.760037,1,6,0.7,-,0.1,0.7
7.756874,2,6,0.1,-,0.5,0.1
7.74606,1,6,0.5,-,0.7,0.7
7.722218,1,6,0.3,-,0.1,0.1
7.721756,1,6,0.1,-,0.7,0.5
7.697408,1,6,0.5,-,0.5,0.1
7.691715,2,6,0.7,-,0.7,0.3
7.689453,2,6,0.7,-,0.1,0.5
7.688454,1,6,0.5,-,0.1,0.5
7.686297,1,6,0.3,-,0.7,0.7
7.664799,2,6,0.3,-,0.3,0.7
7.649368,1,6,0.7,-,0.5,0.7
7.649082,1,6,0.7,-,0.3,0.7
7.614553,2,6,0.5,-,0.5,0.3
7.610095,2,6,0.7,-,0.1,0.3
7.576117,1,6,0.5,-,0.5,0.5
7.565525,2,6,0.5,-,0.7,0.1
7.55224,2,6,0.5,-,0.7,0.3
7.545469,1,6,0.7,-,0.7,0.5
7.544788,2,6,0.3,-,0.3,0.1
7.543018,1,6,0.3,-,0.5,0.3
7.538558,1,6,0.1,-,0.3,0.7
7.506988,2,6,0.3,-,0.1,0.3
7.479687,2,6,0.3,-,0.1,0.1
7.470517,2,6,0.3,-,0.7,0.3
7.457218,1,6,0.1,-,0.5,0.1
7.452476,2,6,0.5,-,0.7,0.7
7.450021,2,6,0.7,-,0.5,0.5
7.420632,2,6,0.5,-,0.1,0.7
7.396946,2,6,0.7,-,0.5,0.1
7.38308,2,6,0.3,-,0.5,0.3
7.38127,2,6,0.7,-,0.7,0.1
7.360137,2,6,0.7,-,0.3,0.5
7.341661,1,6,0.5,-,0.3,0.5
7.339006,1,6,0.1,-,0.7,0.7
7.323214,1,6,0.1,-,0.7,0.3
7.321397,2,6,0.3,-,0.7,0.1
7.313958,2,6,0.7,-,0.3,0.1
7.278873,2,6,0.7,-,0.5,0.7
7.266995,2,6,0.1,-,0.7,0.3
7.257663,2,6,0.1,-,0.1,0.3
7.255672,2,6,0.7,-,0.7,0.7
7.255306,1,6,0.5,-,0.1,0.3
7.253334,2,6,0.7,-,0.1,0.7
7.252097,2,6,0.1,-,0.3,0.3
