MBF,xover,mutation,mixingFactor,p1,p2,p3
3.181313,1,6,0.1,-,0.001,0.001
2.232933,1,6,0.1,-,0.001,0.003
1.127415,1,6,0.1,-,0.001,0.005
2.980614,1,6,0.1,-,0.001,0.007
0.120085,1,6,0.1,-,0.003,0.001
0.969223,1,6,0.1,-,0.003,0.003
2.801026,1,6,0.1,-,0.003,0.005
1.355890,1,6,0.1,-,0.003,0.007
2.963195,1,6,0.1,-,0.005,0.001
3.239813,1,6,0.1,-,0.005,0.003
1.222952,1,6,0.1,-,0.005,0.005
2.691840,1,6,0.1,-,0.005,0.007
1.723351,1,6,0.1,-,0.007,0.001
1.634045,1,6,0.1,-,0.007,0.003
2.020731,1,6,0.1,-,0.007,0.005
4.555263,1,6,0.1,-,0.007,0.007
0.527475,1,6,0.3,-,0.001,0.001
1.612255,1,6,0.3,-,0.001,0.003
0.543836,1,6,0.3,-,0.001,0.005
1.601630,1,6,0.3,-,0.001,0.007
3.224753,1,6,0.3,-,0.003,0.001
2.885763,1,6,0.3,-,0.003,0.003
2.846636,1,6,0.3,-,0.003,0.005
4.490436,1,6,0.3,-,0.003,0.007
2.118644,1,6,0.3,-,0.005,0.001
3.340717,1,6,0.3,-,0.005,0.003
3.986479,1,6,0.3,-,0.005,0.005
3.068018,1,6,0.3,-,0.005,0.007
0.282108,1,6,0.3,-,0.007,0.001
1.189915,1,6,0.3,-,0.007,0.003
3.269493,1,6,0.3,-,0.007,0.005
1.008908,1,6,0.3,-,0.007,0.007
1.186704,1,6,0.5,-,0.001,0.001
4.266860,1,6,0.5,-,0.001,0.003
3.381985,1,6,0.5,-,0.001,0.005
1.625154,1,6,0.5,-,0.001,0.007
2.966984,1,6,0.5,-,0.003,0.001
0.629865,1,6,0.5,-,0.003,0.003
1.907227,1,6,0.5,-,0.003,0.005
4.010643,1,6,0.5,-,0.003,0.007
1.613906,1,6,0.5,-,0.005,0.001
2.787518,1,6,0.5,-,0.005,0.003
1.985050,1,6,0.5,-,0.005,0.005
4.105957,1,6,0.5,-,0.005,0.007
5.041325,1,6,0.5,-,0.007,0.001
1.674988,1,6,0.5,-,0.007,0.003
4.155630,1,6,0.5,-,0.007,0.005
2.493354,1,6,0.5,-,0.007,0.007
2.072141,1,6,0.7,-,0.001,0.001
2.391032,1,6,0.7,-,0.001,0.003
1.159828,1,6,0.7,-,0.001,0.005
1.565052,1,6,0.7,-,0.001,0.007
0.164502,1,6,0.7,-,0.003,0.001
0.329401,1,6,0.7,-,0.003,0.003
3.404785,1,6,0.7,-,0.003,0.005
0.775547,1,6,0.7,-,0.003,0.007
1.485919,1,6,0.7,-,0.005,0.001
1.958549,1,6,0.7,-,0.005,0.003
5.764237,1,6,0.7,-,0.005,0.005
2.009907,1,6,0.7,-,0.005,0.007
2.190584,1,6,0.7,-,0.007,0.001
2.143647,1,6,0.7,-,0.007,0.003
2.705290,1,6,0.7,-,0.007,0.005
3.287854,1,6,0.7,-,0.007,0.007
0.687175,2,6,0.1,-,0.001,0.001
1.608079,2,6,0.1,-,0.001,0.003
0.073085,2,6,0.1,-,0.001,0.005
1.748860,2,6,0.1,-,0.001,0.007
3.192577,2,6,0.1,-,0.003,0.001
2.884013,2,6,0.1,-,0.003,0.003
0.971446,2,6,0.1,-,0.003,0.005
2.978307,2,6,0.1,-,0.003,0.007
1.259761,2,6,0.1,-,0.005,0.001
1.298701,2,6,0.1,-,0.005,0.003
0.812522,2,6,0.1,-,0.005,0.005
1.558135,2,6,0.1,-,0.005,0.007
1.105105,2,6,0.1,-,0.007,0.001
3.488560,2,6,0.1,-,0.007,0.003
1.043686,2,6,0.1,-,0.007,0.005
0.238519,2,6,0.1,-,0.007,0.007
4.309688,2,6,0.3,-,0.001,0.001
3.899093,2,6,0.3,-,0.001,0.003
2.070976,2,6,0.3,-,0.001,0.005
1.603103,2,6,0.3,-,0.001,0.007
1.704213,2,6,0.3,-,0.003,0.001
3.312217,2,6,0.3,-,0.003,0.003
3.274206,2,6,0.3,-,0.003,0.005
1.720557,2,6,0.3,-,0.003,0.007
4.506617,2,6,0.3,-,0.005,0.001
4.869098,2,6,0.3,-,0.005,0.003
1.857614,2,6,0.3,-,0.005,0.005
1.187242,2,6,0.3,-,0.005,0.007
1.447989,2,6,0.3,-,0.007,0.001
2.741812,2,6,0.3,-,0.007,0.003
3.090805,2,6,0.3,-,0.007,0.005
3.700088,2,6,0.3,-,0.007,0.007
0.803822,2,6,0.5,-,0.001,0.001
2.000004,2,6,0.5,-,0.001,0.003
2.063348,2,6,0.5,-,0.001,0.005
3.840698,2,6,0.5,-,0.001,0.007
1.485460,2,6,0.5,-,0.003,0.001
4.028838,2,6,0.5,-,0.003,0.003
2.867336,2,6,0.5,-,0.003,0.005
1.745092,2,6,0.5,-,0.003,0.007
2.337253,2,6,0.5,-,0.005,0.001
3.302528,2,6,0.5,-,0.005,0.003
0.357949,2,6,0.5,-,0.005,0.005
1.091346,2,6,0.5,-,0.005,0.007
1.759758,2,6,0.5,-,0.007,0.001
2.446561,2,6,0.5,-,0.007,0.003
3.047921,2,6,0.5,-,0.007,0.005
2.125082,2,6,0.5,-,0.007,0.007
0.600675,2,6,0.7,-,0.001,0.001
3.696774,2,6,0.7,-,0.001,0.003
4.037521,2,6,0.7,-,0.001,0.005
2.405695,2,6,0.7,-,0.001,0.007
5.234723,2,6,0.7,-,0.003,0.001
1.925121,2,6,0.7,-,0.003,0.003
1.375413,2,6,0.7,-,0.003,0.005
2.192996,2,6,0.7,-,0.003,0.007
4.517345,2,6,0.7,-,0.005,0.001
3.236809,2,6,0.7,-,0.005,0.003
1.416316,2,6,0.7,-,0.005,0.005
0.082257,2,6,0.7,-,0.005,0.007
2.812919,2,6,0.7,-,0.007,0.001
6.220017,2,6,0.7,-,0.007,0.003
3.233850,2,6,0.7,-,0.007,0.005
2.532669,2,6,0.7,-,0.007,0.007
4.140938,3,6,0.1,-,0.001,0.001
3.763887,3,6,0.1,-,0.001,0.003
0.109104,3,6,0.1,-,0.001,0.005
4.239818,3,6,0.1,-,0.001,0.007
3.061377,3,6,0.1,-,0.003,0.001
2.964977,3,6,0.1,-,0.003,0.003
1.191367,3,6,0.1,-,0.003,0.005
2.942378,3,6,0.1,-,0.003,0.007
3.061458,3,6,0.1,-,0.005,0.001
3.673674,3,6,0.1,-,0.005,0.003
1.717993,3,6,0.1,-,0.005,0.005
4.270329,3,6,0.1,-,0.005,0.007
1.362772,3,6,0.1,-,0.007,0.001
2.135246,3,6,0.1,-,0.007,0.003
0.521778,3,6,0.1,-,0.007,0.005
2.362737,3,6,0.1,-,0.007,0.007
2.456504,3,6,0.3,-,0.001,0.001
4.383793,3,6,0.3,-,0.001,0.003
1.314416,3,6,0.3,-,0.001,0.005
1.270169,3,6,0.3,-,0.001,0.007
1.128904,3,6,0.3,-,0.003,0.001
3.044312,3,6,0.3,-,0.003,0.003
4.497980,3,6,0.3,-,0.003,0.005
3.440389,3,6,0.3,-,0.003,0.007
1.738213,3,6,0.3,-,0.005,0.001
0.809843,3,6,0.3,-,0.005,0.003
4.817436,3,6,0.3,-,0.005,0.005
1.557379,3,6,0.3,-,0.005,0.007
5.600947,3,6,0.3,-,0.007,0.001
2.766815,3,6,0.3,-,0.007,0.003
1.656210,3,6,0.3,-,0.007,0.005
3.644221,3,6,0.3,-,0.007,0.007
1.118498,3,6,0.5,-,0.001,0.001
2.308917,3,6,0.5,-,0.001,0.003
2.127059,3,6,0.5,-,0.001,0.005
0.151648,3,6,0.5,-,0.001,0.007
1.743646,3,6,0.5,-,0.003,0.001
