MBF,xover,mutation,mixingfactor,p1,p2,p3
0.000102,1,4,0.0,0.01,-,-
0.000017,1,4,0.0,0.05,-,-
0.012756,1,4,0.0,0.1,-,-
0.000101,1,4,0.25,0.01,-,-
0.000025,1,4,0.25,0.05,-,-
0.000004,1,4,0.25,0.1,-,-
0.000052,1,4,0.5,0.01,-,-
0.090113,1,4,0.5,0.05,-,-
0.000007,1,4,0.5,0.1,-,-
0.001450,1,4,0.75,0.01,-,-
0.000030,1,4,0.75,0.05,-,-
0.000001,1,4,0.75,0.1,-,-
0.000005,1,4,1.0,0.01,-,-
0.006799,1,4,1.0,0.05,-,-
0.000010,1,4,1.0,0.1,-,-
0.004778,1,5,0.0,-,0.01,0.01
0.000076,1,5,0.0,-,0.01,0.05
0.000129,1,5,0.0,-,0.01,0.1
0.000001,1,5,0.0,-,0.05,0.01
0.000002,1,5,0.0,-,0.05,0.05
0.000000,1,5,0.0,-,0.05,0.1
0.000129,1,5,0.0,-,0.1,0.01
0.000443,1,5,0.0,-,0.1,0.05
0.000000,1,5,0.0,-,0.1,0.1
0.000007,1,5,0.25,-,0.01,0.01
0.000097,1,5,0.25,-,0.01,0.05
0.000003,1,5,0.25,-,0.01,0.1
0.000003,1,5,0.25,-,0.05,0.01
0.000793,1,5,0.25,-,0.05,0.05
0.000000,1,5,0.25,-,0.05,0.1
0.003428,1,5,0.25,-,0.1,0.01
0.000000,1,5,0.25,-,0.1,0.05
0.000029,1,5,0.25,-,0.1,0.1
0.000000,1,5,0.5,-,0.01,0.01
0.006246,1,5,0.5,-,0.01,0.05
0.000631,1,5,0.5,-,0.01,0.1
0.000015,1,5,0.5,-,0.05,0.01
0.000051,1,5,0.5,-,0.05,0.05
0.000000,1,5,0.5,-,0.05,0.1
0.000019,1,5,0.5,-,0.1,0.01
0.046322,1,5,0.5,-,0.1,0.05
0.000627,1,5,0.5,-,0.1,0.1
0.000368,1,5,0.75,-,0.01,0.01
0.000503,1,5,0.75,-,0.01,0.05
0.000002,1,5,0.75,-,0.01,0.1
0.000007,1,5,0.75,-,0.05,0.01
0.000066,1,5,0.75,-,0.05,0.05
0.000069,1,5,0.75,-,0.05,0.1
0.000454,1,5,0.75,-,0.1,0.01
0.000002,1,5,0.75,-,0.1,0.05
0.000001,1,5,0.75,-,0.1,0.1
0.000007,1,5,1.0,-,0.01,0.01
0.144694,1,5,1.0,-,0.01,0.05
0.000407,1,5,1.0,-,0.01,0.1
0.000016,1,5,1.0,-,0.05,0.01
0.000110,1,5,1.0,-,0.05,0.05
0.000000,1,5,1.0,-,0.05,0.1
0.000312,1,5,1.0,-,0.1,0.01
0.000119,1,5,1.0,-,0.1,0.05
0.000005,1,5,1.0,-,0.1,0.1
0.001070,1,6,0.0,-,0.01,0.01
0.002210,1,6,0.0,-,0.01,0.05
0.000034,1,6,0.0,-,0.01,0.1
0.000000,1,6,0.0,-,0.05,0.01
0.000219,1,6,0.0,-,0.05,0.05
0.000074,1,6,0.0,-,0.05,0.1
0.001060,1,6,0.0,-,0.1,0.01
0.000001,1,6,0.0,-,0.1,0.05
0.010244,1,6,0.0,-,0.1,0.1
0.002714,1,6,0.25,-,0.01,0.01
0.000059,1,6,0.25,-,0.01,0.05
0.001586,1,6,0.25,-,0.01,0.1
0.138965,1,6,0.25,-,0.05,0.01
0.000011,1,6,0.25,-,0.05,0.05
0.000013,1,6,0.25,-,0.05,0.1
0.000533,1,6,0.25,-,0.1,0.01
0.007978,1,6,0.25,-,0.1,0.05
0.000011,1,6,0.25,-,0.1,0.1
0.000036,1,6,0.5,-,0.01,0.01
0.074100,1,6,0.5,-,0.01,0.05
0.000004,1,6,0.5,-,0.01,0.1
0.000061,1,6,0.5,-,0.05,0.01
0.000140,1,6,0.5,-,0.05,0.05
0.000156,1,6,0.5,-,0.05,0.1
0.001616,1,6,0.5,-,0.1,0.01
0.000009,1,6,0.5,-,0.1,0.05
0.000000,1,6,0.5,-,0.1,0.1
0.000002,1,6,0.75,-,0.01,0.01
0.000081,1,6,0.75,-,0.01,0.05
0.000242,1,6,0.75,-,0.01,0.1
0.001148,1,6,0.75,-,0.05,0.01
0.000982,1,6,0.75,-,0.05,0.05
0.002696,1,6,0.75,-,0.05,0.1
0.384203,1,6,0.75,-,0.1,0.01
0.000053,1,6,0.75,-,0.1,0.05
0.002110,1,6,0.75,-,0.1,0.1
0.009358,1,6,1.0,-,0.01,0.01
0.000202,1,6,1.0,-,0.01,0.05
0.000812,1,6,1.0,-,0.01,0.1
0.000000,1,6,1.0,-,0.05,0.01
0.001542,1,6,1.0,-,0.05,0.05
0.000015,1,6,1.0,-,0.05,0.1
0.000000,1,6,1.0,-,0.1,0.01
0.000078,1,6,1.0,-,0.1,0.05
0.000497,1,6,1.0,-,0.1,0.1
0.095626,2,4,0.0,0.01,-,-
0.000043,2,4,0.0,0.05,-,-
0.000179,2,4,0.0,0.1,-,-
0.000004,2,4,0.25,0.01,-,-
0.000004,2,4,0.25,0.05,-,-
0.000000,2,4,0.25,0.1,-,-
0.000011,2,4,0.5,0.01,-,-
0.000053,2,4,0.5,0.05,-,-
0.006788,2,4,0.5,0.1,-,-
0.093840,2,4,0.75,0.01,-,-
0.013510,2,4,0.75,0.05,-,-
0.000000,2,4,0.75,0.1,-,-
0.000000,2,4,1.0,0.01,-,-
0.000000,2,4,1.0,0.05,-,-
0.004303,2,4,1.0,0.1,-,-
0.000336,2,5,0.0,-,0.01,0.01
0.000084,2,5,0.0,-,0.01,0.05
0.025866,2,5,0.0,-,0.01,0.1
0.012259,2,5,0.0,-,0.05,0.01
0.000716,2,5,0.0,-,0.05,0.05
0.000026,2,5,0.0,-,0.05,0.1
