MBF,xover,mutation,mixingFactor,p1,p2,p3
9.991142,1,6,0.6,-,0.03,0.01
9.990034,1,6,0.7,-,0.05,0.05
9.989836,1,6,0.7,-,0.07,0.05
9.987945,1,6,0.7,-,0.05,0.01
9.987738,1,6,0.7,-,0.01,0.05
9.987393,1,6,0.7,-,0.05,0.07
9.986977,1,6,0.7,-,0.03,0.01
9.986748,1,6,0.6,-,0.05,0.01
9.986667,1,6,0.6,-,0.07,0.07
9.986623,1,6,0.7,-,0.07,0.07
9.98623,1,6,0.7,-,0.01,0.03
9.985979,1,6,0.5,-,0.03,0.05
9.985663,1,6,0.7,-,0.05,0.03
9.985646,1,6,0.5,-,0.07,0.05
9.985522,1,6,0.6,-,0.05,0.07
9.985455,1,6,0.7,-,0.01,0.07
9.985094,1,6,0.7,-,0.03,0.05
9.985031,1,6,0.6,-,0.07,0.05
9.984542,1,6,0.7,-,0.03,0.03
9.984232,1,6,0.7,-,0.01,0.01
9.984105,1,6,0.5,-,0.05,0.07
9.984095,1,6,0.5,-,0.01,0.03
9.984022,1,6,0.7,-,0.07,0.01
9.983747,1,6,0.6,-,0.03,0.05
9.983703,1,6,0.6,-,0.05,0.05
9.983657,1,6,0.5,-,0.01,0.07
9.983592,1,6,0.6,-,0.07,0.01
9.98335,1,6,0.6,-,0.05,0.03
9.983136,1,6,0.5,-,0.01,0.01
9.982855,1,6,0.6,-,0.01,0.05
9.982734,1,6,0.6,-,0.01,0.07
9.9826,1,6,0.5,-,0.07,0.07
9.982241,1,6,0.5,-,0.03,0.01
9.982114,1,6,0.6,-,0.01,0.01
9.981809,1,6,0.6,-,0.03,0.07
9.981807,1,6,0.5,-,0.07,0.03
9.981797,1,6,0.5,-,0.05,0.03
9.981256,1,6,0.7,-,0.03,0.07
9.981047,1,6,0.5,-,0.05,0.05
9.980903,1,6,0.6,-,0.03,0.03
9.980855,1,6,0.6,-,0.01,0.03
9.97997,1,6,0.5,-,0.01,0.05
9.979923,1,6,0.5,-,0.03,0.07
9.979426,1,6,0.7,-,0.07,0.03
9.978697,1,6,0.6,-,0.07,0.03
9.977571,1,6,0.5,-,0.05,0.01
9.977446,1,6,0.5,-,0.07,0.01
9.97658,1,6,0.5,-,0.03,0.03
