MBF,xover,mutation,mixingfactor,p1,p2,p3
4.362659,1,6,0.1,-,0.1,0.1
4.879013,1,6,0.1,-,0.1,0.3
4.455709,1,6,0.1,-,0.1,0.5
3.684831,1,6,0.1,-,0.1,0.7
3.723703,1,6,0.1,-,0.3,0.1
4.038542,1,6,0.1,-,0.3,0.3
4.877983,1,6,0.1,-,0.3,0.5
4.549510,1,6,0.1,-,0.3,0.7
4.451133,1,6,0.1,-,0.5,0.1
4.051918,1,6,0.1,-,0.5,0.3
4.545214,1,6,0.1,-,0.5,0.5
4.000201,1,6,0.1,-,0.5,0.7
4.705067,1,6,0.1,-,0.7,0.1
4.222585,1,6,0.1,-,0.7,0.3
4.242878,1,6,0.1,-,0.7,0.5
3.945677,1,6,0.1,-,0.7,0.7
7.096970,1,6,0.3,-,0.1,0.1
6.920053,1,6,0.3,-,0.1,0.3
6.903943,1,6,0.3,-,0.1,0.5
6.797181,1,6,0.3,-,0.1,0.7
6.740405,1,6,0.3,-,0.3,0.1
6.877929,1,6,0.3,-,0.3,0.3
6.452417,1,6,0.3,-,0.3,0.5
7.236789,1,6,0.3,-,0.3,0.7
7.704718,1,6,0.3,-,0.5,0.1
6.942504,1,6,0.3,-,0.5,0.3
6.954550,1,6,0.3,-,0.5,0.5
7.471441,1,6,0.3,-,0.5,0.7
7.162783,1,6,0.3,-,0.7,0.1
7.216476,1,6,0.3,-,0.7,0.3
6.495045,1,6,0.3,-,0.7,0.5
6.870268,1,6,0.3,-,0.7,0.7
7.742801,1,6,0.5,-,0.1,0.1
7.867833,1,6,0.5,-,0.1,0.3
7.386095,1,6,0.5,-,0.1,0.5
8.003132,1,6,0.5,-,0.1,0.7
8.129113,1,6,0.5,-,0.3,0.1
7.779890,1,6,0.5,-,0.3,0.3
7.904598,1,6,0.5,-,0.3,0.5
7.154288,1,6,0.5,-,0.3,0.7
7.856250,1,6,0.5,-,0.5,0.1
7.992259,1,6,0.5,-,0.5,0.3
7.788208,1,6,0.5,-,0.5,0.5
7.418071,1,6,0.5,-,0.5,0.7
7.809433,1,6,0.5,-,0.7,0.1
8.299514,1,6,0.5,-,0.7,0.3
8.083423,1,6,0.5,-,0.7,0.5
7.916597,1,6,0.5,-,0.7,0.7
8.404379,1,6,0.7,-,0.1,0.1
8.098030,1,6,0.7,-,0.1,0.3
8.565200,1,6,0.7,-,0.1,0.5
8.334991,1,6,0.7,-,0.1,0.7
8.471461,1,6,0.7,-,0.3,0.1
8.390522,1,6,0.7,-,0.3,0.3
7.830782,1,6,0.7,-,0.3,0.5
7.718387,1,6,0.7,-,0.3,0.7
8.264055,1,6,0.7,-,0.5,0.1
8.871899,1,6,0.7,-,0.5,0.3
8.044503,1,6,0.7,-,0.5,0.5
7.625294,1,6,0.7,-,0.5,0.7
8.432947,1,6,0.7,-,0.7,0.1
8.496993,1,6,0.7,-,0.7,0.3
8.429956,1,6,0.7,-,0.7,0.5
8.356951,1,6,0.7,-,0.7,0.7
4.696886,2,6,0.1,-,0.1,0.1
4.827452,2,6,0.1,-,0.1,0.3
4.104176,2,6,0.1,-,0.1,0.5
4.678626,2,6,0.1,-,0.1,0.7
4.664133,2,6,0.1,-,0.3,0.1
4.481156,2,6,0.1,-,0.3,0.3
4.305079,2,6,0.1,-,0.3,0.5
4.644046,2,6,0.1,-,0.3,0.7
4.955689,2,6,0.1,-,0.5,0.1
4.452451,2,6,0.1,-,0.5,0.3
4.058825,2,6,0.1,-,0.5,0.5
4.223811,2,6,0.1,-,0.5,0.7
4.728378,2,6,0.1,-,0.7,0.1
4.494395,2,6,0.1,-,0.7,0.3
4.622764,2,6,0.1,-,0.7,0.5
4.464843,2,6,0.1,-,0.7,0.7
6.521380,2,6,0.3,-,0.1,0.1
6.853904,2,6,0.3,-,0.1,0.3
7.286879,2,6,0.3,-,0.1,0.5
6.918633,2,6,0.3,-,0.1,0.7
6.839663,2,6,0.3,-,0.3,0.1
6.786690,2,6,0.3,-,0.3,0.3
6.818132,2,6,0.3,-,0.3,0.5
7.603269,2,6,0.3,-,0.3,0.7
7.016468,2,6,0.3,-,0.5,0.1
7.047139,2,6,0.3,-,0.5,0.3
7.417500,2,6,0.3,-,0.5,0.5
7.067178,2,6,0.3,-,0.5,0.7
7.942926,2,6,0.3,-,0.7,0.1
6.837205,2,6,0.3,-,0.7,0.3
7.451662,2,6,0.3,-,0.7,0.5
6.728652,2,6,0.3,-,0.7,0.7
7.474424,2,6,0.5,-,0.1,0.1
7.153479,2,6,0.5,-,0.1,0.3
7.646503,2,6,0.5,-,0.1,0.5
7.696285,2,6,0.5,-,0.1,0.7
7.120383,2,6,0.5,-,0.3,0.1
7.660909,2,6,0.5,-,0.3,0.3
7.024884,2,6,0.5,-,0.3,0.5
7.119174,2,6,0.5,-,0.3,0.7
7.150681,2,6,0.5,-,0.5,0.1
7.169554,2,6,0.5,-,0.5,0.3
7.251211,2,6,0.5,-,0.5,0.5
7.403181,2,6,0.5,-,0.5,0.7
