MBF,xover,mutation,mixingFactor,p1,p2,p3
8.662277,1,6,0.7,-,0.3,0.1
8.657235,1,6,0.7,-,0.3,0.7
8.595252,1,6,0.7,-,0.5,0.1
8.561308,1,6,0.7,-,0.1,0.7
8.521204,1,6,0.7,-,0.5,0.5
8.469605,1,6,0.7,-,0.7,0.3
8.448276,1,6,0.7,-,0.7,0.1
8.42262,1,6,0.7,-,0.3,0.5
8.369752,1,6,0.6,-,0.5,0.5
8.362824,1,6,0.7,-,0.5,0.3
8.3465,1,6,0.7,-,0.7,0.5
8.34052,1,6,0.6,-,0.5,0.7
8.31674,1,6,0.7,-,0.1,0.3
8.285035,1,6,0.7,-,0.1,0.1
8.284359,1,6,0.7,-,0.3,0.3
8.255694,1,6,0.6,-,0.3,0.5
8.223907,1,6,0.7,-,0.1,0.5
8.212152,1,6,0.6,-,0.1,0.7
8.207747,1,6,0.6,-,0.1,0.5
8.200947,1,6,0.6,-,0.5,0.3
8.152854,1,6,0.6,-,0.7,0.7
8.082212,1,6,0.6,-,0.3,0.3
8.056929,1,6,0.6,-,0.1,0.1
8.045677,1,6,0.6,-,0.1,0.3
8.039591,1,6,0.6,-,0.5,0.1
8.029714,1,6,0.6,-,0.3,0.7
7.989435,1,6,0.6,-,0.7,0.5
7.966641,1,6,0.6,-,0.7,0.1
7.952616,1,6,0.5,-,0.1,0.1
7.947459,1,6,0.5,-,0.7,0.1
7.94683,1,6,0.7,-,0.5,0.7
7.94061,1,6,0.5,-,0.5,0.1
7.921498,1,6,0.6,-,0.7,0.3
7.908482,1,6,0.7,-,0.7,0.7
7.865955,1,6,0.5,-,0.3,0.5
7.860863,1,6,0.6,-,0.3,0.1
7.824413,1,6,0.5,-,0.1,0.7
7.815215,1,6,0.5,-,0.7,0.5
7.782538,1,6,0.5,-,0.5,0.3
7.762101,1,6,0.5,-,0.7,0.3
7.74599,1,6,0.5,-,0.3,0.3
7.731402,1,6,0.5,-,0.7,0.7
7.713861,1,6,0.5,-,0.3,0.7
7.685472,1,6,0.5,-,0.3,0.1
7.638132,1,6,0.5,-,0.1,0.3
7.624677,1,6,0.5,-,0.5,0.5
7.62159,1,6,0.5,-,0.1,0.5
7.476041,1,6,0.5,-,0.5,0.7
